contract_id,supplier_id,contract_type,content,created_date,expiry_date,status
CONTRACT_0011,SUP_0011,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated July 19, 2025 is between Harrington Ltd and Webster and Sons.

SCOPE OF SERVICES:
- Supplier shall provide Logistics services.
- Service level agreement: 97.4472156723475% uptime required.
- Response time: 18 hours for critical issues.

COMPENSATION:
- Monthly retainer: $34219.50460595968
- Additional services billed at $190.442093220339 per hour.
- Payment due within 60 days of invoice.

LIABILITY:
- Supplier liability limited to $157605.71194775883 per incident.
- Indemnification clauses apply.
- Insurance coverage of $8422689.136123069 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 3 years.
",2025-01-25,2025-12-11,Active
CONTRACT_0012,SUP_0005,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on July 08, 2025 between Allen Group (""Buyer"") 
and Wilson, Gould and Marshall (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 4 years.
- Supplier shall deliver products within 28 business days of order confirmation.
- Late deliveries may result in penalties of up to 11% of order value.

PRICING AND PAYMENT:
- Unit price: $37.52627790024512 per unit.
- Payment terms: Net 45 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.0023872524457307217%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 90 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-02-16,2027-06-06,Pending
CONTRACT_0013,SUP_0063,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated January 13, 2025 is between Lawson, Adkins and Wilson and Oconnell Inc.

SCOPE OF SERVICES:
- Supplier shall provide Maintenance services.
- Service level agreement: 96.41701848685015% uptime required.
- Response time: 4 hours for critical issues.

COMPENSATION:
- Monthly retainer: $46605.24749195622
- Additional services billed at $116.4959764275763 per hour.
- Payment due within 60 days of invoice.

LIABILITY:
- Supplier liability limited to $598042.1690791729 per incident.
- Indemnification clauses apply.
- Insurance coverage of $3293940.240233941 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 2 years.
",2025-06-21,2025-12-19,Active
CONTRACT_0014,SUP_0035,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated November 04, 2025 is between Johnston-Odonnell and Sanders-Espinoza.

SCOPE OF SERVICES:
- Supplier shall provide Logistics services.
- Service level agreement: 96.83024886680847% uptime required.
- Response time: 7 hours for critical issues.

COMPENSATION:
- Monthly retainer: $15430.261563020751
- Additional services billed at $97.79134441454107 per hour.
- Payment due within 60 days of invoice.

LIABILITY:
- Supplier liability limited to $913202.5990892773 per incident.
- Indemnification clauses apply.
- Insurance coverage of $1698766.9838990313 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 2 years.
",2024-12-08,2028-05-17,Active
CONTRACT_0015,SUP_0023,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on August 04, 2025 between Sanchez, Terry and Turner (""Buyer"") 
and Burke, Martinez and Riggs (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 2 years.
- Supplier shall deliver products within 11 business days of order confirmation.
- Late deliveries may result in penalties of up to 14% of order value.

PRICING AND PAYMENT:
- Unit price: $443.34450804125595 per unit.
- Payment terms: Net 90 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.04307944968812414%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 90 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-09-08,2026-01-12,Active
CONTRACT_0016,SUP_0036,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on March 23, 2025 between Patterson, Wood and Hunter (""Buyer"") 
and Smith-Fisher (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 4 years.
- Supplier shall deliver products within 27 business days of order confirmation.
- Late deliveries may result in penalties of up to 6% of order value.

PRICING AND PAYMENT:
- Unit price: $270.6256487136819 per unit.
- Payment terms: Net 90 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.026231734145749714%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 60 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-05-18,2026-04-22,Active
CONTRACT_0017,SUP_0074,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated April 26, 2025 is between Reid-Poole and Hernandez, Thompson and Boyd.

SCOPE OF SERVICES:
- Supplier shall provide Logistics services.
- Service level agreement: 96.07581422382603% uptime required.
- Response time: 8 hours for critical issues.

COMPENSATION:
- Monthly retainer: $49381.100237813065
- Additional services billed at $112.21037404512066 per hour.
- Payment due within 60 days of invoice.

LIABILITY:
- Supplier liability limited to $778478.5664532325 per incident.
- Indemnification clauses apply.
- Insurance coverage of $8843215.792388804 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 4 years.
",2025-07-19,2027-01-03,Active
CONTRACT_0018,SUP_0017,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated July 06, 2025 is between Hampton, Marshall and Petersen and Adams, Christian and Rivas.

SCOPE OF SERVICES:
- Supplier shall provide Maintenance services.
- Service level agreement: 99.63105952490444% uptime required.
- Response time: 16 hours for critical issues.

COMPENSATION:
- Monthly retainer: $32253.705019553516
- Additional services billed at $67.58058585203501 per hour.
- Payment due within 45 days of invoice.

LIABILITY:
- Supplier liability limited to $403485.91800917685 per incident.
- Indemnification clauses apply.
- Insurance coverage of $2285577.683328987 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 3 years.
",2024-12-12,2027-01-17,Active
CONTRACT_0019,SUP_0016,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on October 17, 2025 between Sanchez-Marshall (""Buyer"") 
and Barnett, Rogers and Snyder (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 2 years.
- Supplier shall deliver products within 23 business days of order confirmation.
- Late deliveries may result in penalties of up to 7% of order value.

PRICING AND PAYMENT:
- Unit price: $110.11502786549545 per unit.
- Payment terms: Net 30 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.04762065940755837%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 30 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-03-15,2026-08-19,Active
CONTRACT_0020,SUP_0053,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated May 17, 2025 is between Kelly LLC and Ramirez-Carlson.

SCOPE OF SERVICES:
- Supplier shall provide Logistics services.
- Service level agreement: 98.87863519269771% uptime required.
- Response time: 14 hours for critical issues.

COMPENSATION:
- Monthly retainer: $27975.280793420214
- Additional services billed at $173.089813651488 per hour.
- Payment due within 90 days of invoice.

LIABILITY:
- Supplier liability limited to $464111.7907636157 per incident.
- Indemnification clauses apply.
- Insurance coverage of $5359099.836623577 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 4 years.
",2025-10-16,2027-01-13,Active
