supplier_id,supplier_name,country,region,industry,supplier_tier,established_year,employee_count,annual_revenue_millions,credit_rating,payment_terms_days,is_strategic_supplier,relationship_start_date,primary_contact_email,sustainability_score,certifications
SUP00011,International Components Inc,Germany,Asia Pacific,Chemicals,Tier 2,1997,10000,3486.32,BB,60,True,2015-05-28,procurement11@supplier11.com,75.7,"[""ISO 45001"", ""CE"", ""IATF 16949"", ""AS9100""]"
SUP00012,Strategic Industries GmbH,Brazil,Asia Pacific,Metals,Tier 1,1993,250,4986.29,B,60,True,2019-02-21,procurement12@supplier12.com,63.0,"[""FDA"", ""CE"", ""IATF 16949"", ""AS9100"", ""UL""]"
SUP00013,Advanced Components Ltd,Thailand,North America,Automotive,Tier 1,1994,250,4483.57,BBB,90,False,2021-07-13,procurement13@supplier13.com,43.9,"[""UL"", ""ISO 14001"", ""FDA"", ""IATF 16949"", ""AS9100""]"
SUP00014,Premier Components Inc,Thailand,Asia Pacific,Automotive,Tier 2,2010,1000,2882.11,BBB,45,False,2021-03-13,procurement14@supplier14.com,89.3,"[""IATF 16949"", ""CE"", ""FDA""]"
SUP00015,Global Solutions Inc,UK,Middle East,Automotive,Tier 1,1980,10000,4587.39,B,45,True,2016-08-29,procurement15@supplier15.com,62.3,"[""UL"", ""FDA"", ""ISO 14001""]"
SUP00016,Advanced Components Co,Japan,Asia Pacific,Pharmaceuticals,Tier 1,1982,100,31.47,BBB,30,True,2019-10-27,procurement16@supplier16.com,89.1,"[""UL"", ""ISO 9001"", ""FDA""]"
SUP00017,Advanced Manufacturing GmbH,India,North America,Chemicals,Tier 2,1995,1000,4875.46,AAA,90,True,2016-06-06,procurement17@supplier17.com,55.2,"[""IATF 16949"", ""ISO 45001"", ""CE""]"
SUP00018,International Manufacturing GmbH,UK,Middle East,Metals,Tier 3,2002,100,2456.29,B,30,True,2015-06-21,procurement18@supplier18.com,40.1,"[""ISO 14001"", ""UL"", ""CE""]"
SUP00019,Global Technologies Corp,UK,Europe,Textiles,Tier 1,1990,250,3615.87,A,45,True,2018-06-16,procurement19@supplier19.com,49.5,"[""CE"", ""FDA""]"
SUP00020,Strategic Systems Co,Germany,Asia Pacific,Electronics,Tier 1,1991,250,4105.2,BBB,90,False,2019-02-02,procurement20@supplier20.com,68.1,"[""IATF 16949"", ""ISO 9001""]"
SUP00021,Strategic Components Co,Mexico,North America,Textiles,Tier 3,1989,1000,3593.69,AA,60,False,2015-06-13,procurement21@supplier21.com,96.7,"[""CE"", ""ISO 45001"", ""AS9100"", ""IATF 16949""]"
SUP00022,Premier Systems Inc,Japan,Europe,Electronics,Tier 3,2011,1000,2677.51,AAA,90,False,2019-01-05,procurement22@supplier22.com,46.1,"[""ISO 9001"", ""ISO 14001"", ""IATF 16949"", ""FDA""]"
SUP00023,Global Systems Ltd,China,Europe,Machinery,Tier 2,1995,100,2385.71,A,60,False,2017-05-10,procurement23@supplier23.com,91.3,"[""ISO 9001"", ""CE"", ""AS9100"", ""IATF 16949"", ""FDA""]"
SUP00024,Strategic Components Inc,UK,Latin America,Textiles,Tier 2,1987,500,4193.72,BB,60,True,2022-08-25,procurement24@supplier24.com,71.6,"[""FDA""]"
SUP00025,Strategic Industries Inc,Poland,Middle East,Plastics,Tier 2,2017,100,1029.36,A,90,False,2017-10-19,procurement25@supplier25.com,89.6,"[""CE"", ""UL"", ""IATF 16949""]"
SUP00026,United Components GmbH,Malaysia,Asia Pacific,Plastics,Tier 1,1991,1000,4840.13,A,60,False,2022-06-24,procurement26@supplier26.com,57.9,"[""IATF 16949"", ""UL"", ""ISO 14001"", ""ISO 45001"", ""CE""]"
SUP00027,Dynamic Components Ltd,Mexico,North America,Food & Beverage,Tier 3,2003,2500,3556.21,A,30,False,2016-02-26,procurement27@supplier27.com,90.4,"[""ISO 9001"", ""IATF 16949"", ""ISO 45001"", ""CE""]"
SUP00028,Advanced Components Ltd,China,Latin America,Chemicals,Tier 3,2007,1000,1001.54,BBB,45,True,2018-12-19,procurement28@supplier28.com,86.4,"[""UL"", ""ISO 14001""]"
SUP00029,Dynamic Components Inc,Poland,Middle East,Electronics,Tier 1,1987,2500,3682.55,B,60,False,2021-04-12,procurement29@supplier29.com,53.8,"[""ISO 9001"", ""IATF 16949"", ""AS9100"", ""FDA"", ""UL""]"
SUP00030,International Systems Ltd,Japan,Latin America,Electronics,Tier 1,2007,50,2651.55,BBB,30,False,2019-07-23,procurement30@supplier30.com,47.9,"[""CE""]"
SUP00031,International Systems Ltd,USA,Middle East,Chemicals,Tier 3,2015,1000,3537.61,BBB,60,False,2021-12-17,procurement31@supplier31.com,92.1,"[""UL"", ""ISO 14001""]"
SUP00032,Premier Solutions GmbH,Poland,Middle East,Pharmaceuticals,Tier 2,2005,50,3840.06,BB,45,False,2016-09-25,procurement32@supplier32.com,97.8,"[""AS9100""]"
SUP00033,Advanced Systems Co,Vietnam,Asia Pacific,Food & Beverage,Tier 2,1987,500,441.01,BBB,30,False,2017-08-27,procurement33@supplier33.com,41.9,"[""FDA"", ""ISO 14001"", ""IATF 16949"", ""ISO 45001""]"
SUP00034,Premier Systems Corp,Mexico,Middle East,Pharmaceuticals,Tier 2,2007,100,2532.99,AA,45,False,2016-10-27,procurement34@supplier34.com,83.9,"[""CE"", ""ISO 45001"", ""IATF 16949""]"
SUP00035,Strategic Manufacturing Ltd,Turkey,Latin America,Pharmaceuticals,Tier 2,2007,2500,4660.41,A,45,False,2016-12-26,procurement35@supplier35.com,94.6,"[""ISO 14001"", ""IATF 16949"", ""ISO 9001""]"
SUP00036,Strategic Manufacturing Corp,Poland,Middle East,Pharmaceuticals,Tier 3,2016,100,1606.61,A,30,True,2019-08-16,procurement36@supplier36.com,91.4,"[""ISO 9001"", ""ISO 45001"", ""ISO 14001"", ""UL"", ""AS9100""]"
SUP00037,United Components Inc,South Korea,Asia Pacific,Chemicals,Tier 3,2015,50,2971.45,A,30,True,2015-04-12,procurement37@supplier37.com,97.9,"[""IATF 16949""]"
SUP00038,Premier Technologies Corp,USA,Asia Pacific,Pharmaceuticals,Tier 3,2006,2500,1849.31,A,30,False,2017-01-04,procurement38@supplier38.com,85.6,"[""ISO 9001"", ""AS9100""]"
SUP00039,Premier Systems GmbH,Thailand,Latin America,Plastics,Tier 2,1996,100,2274.07,BB,90,True,2018-09-22,procurement39@supplier39.com,66.5,"[""IATF 16949"", ""ISO 14001""]"
SUP00040,United Systems GmbH,Thailand,Europe,Automotive,Tier 3,1988,1000,2745.27,A,30,False,2019-08-14,procurement40@supplier40.com,58.7,"[""ISO 14001"", ""AS9100"", ""UL"", ""IATF 16949""]"
SUP00041,Premier Components Ltd,Indonesia,Europe,Machinery,Tier 2,2012,250,2746.87,BBB,30,False,2022-07-06,procurement41@supplier41.com,59.2,"[""FDA"", ""ISO 14001"", ""AS9100""]"
SUP00042,Premier Systems Co,Vietnam,Middle East,Electronics,Tier 2,1999,50,1012.64,BBB,30,False,2017-10-13,procurement42@supplier42.com,83.5,"[""ISO 14001"", ""CE"", ""UL"", ""ISO 45001"", ""ISO 9001""]"
SUP00043,International Components Co,Poland,North America,Electronics,Tier 1,1992,100,3424.43,A,30,False,2017-12-28,procurement43@supplier43.com,84.8,"[""ISO 9001"", ""ISO 45001"", ""AS9100"", ""IATF 16949"", ""FDA""]"
SUP00044,United Technologies GmbH,Poland,Middle East,Machinery,Tier 3,2007,50,443.9,BB,60,False,2016-10-14,procurement44@supplier44.com,52.0,"[""ISO 14001"", ""AS9100""]"
SUP00045,Advanced Industries Ltd,Indonesia,Latin America,Chemicals,Tier 3,2008,5000,698.43,BBB,90,False,2022-11-12,procurement45@supplier45.com,92.1,"[""ISO 14001"", ""FDA""]"
SUP00046,International Solutions Inc,Malaysia,Latin America,Textiles,Tier 2,1992,50,18.54,A,45,False,2016-03-18,procurement46@supplier46.com,82.9,"[""ISO 14001"", ""CE"", ""AS9100""]"
SUP00047,Strategic Manufacturing Inc,Malaysia,Latin America,Chemicals,Tier 3,2014,2500,587.9,BBB,30,False,2019-04-16,procurement47@supplier47.com,73.8,"[""FDA""]"
SUP00048,Premier Systems Ltd,Indonesia,Latin America,Electronics,Tier 2,1985,5000,2368.47,BBB,60,False,2015-06-08,procurement48@supplier48.com,68.3,"[""CE"", ""FDA"", ""ISO 45001"", ""ISO 9001"", ""UL""]"
SUP00049,Strategic Systems GmbH,Malaysia,Latin America,Electronics,Tier 1,1997,10000,3032.48,BBB,60,False,2020-04-11,procurement49@supplier49.com,72.6,"[""CE""]"
SUP00050,International Manufacturing GmbH,Germany,Asia Pacific,Machinery,Tier 1,1984,2500,3972.48,BBB,60,True,2017-06-30,procurement50@supplier50.com,49.6,"[""ISO 14001"", ""IATF 16949"", ""ISO 45001"", ""CE""]"
SUP00051,United Technologies GmbH,Poland,Europe,Pharmaceuticals,Tier 1,2004,250,537.96,BBB,45,False,2017-03-28,procurement51@supplier51.com,52.2,"[""CE"", ""ISO 14001""]"
SUP00052,International Components Co,Brazil,Latin America,Chemicals,Tier 2,1981,5000,4254.38,BB,30,False,2020-02-29,procurement52@supplier52.com,45.5,"[""AS9100"", ""UL"", ""CE"", ""IATF 16949"", ""FDA""]"
SUP00053,Strategic Manufacturing Inc,India,North America,Metals,Tier 1,1989,10000,3731.14,AA,90,False,2018-12-03,procurement53@supplier53.com,49.2,"[""AS9100"", ""ISO 45001"", ""ISO 14001"", ""ISO 9001""]"
SUP00054,Dynamic Technologies Corp,South Korea,North America,Machinery,Tier 2,2009,1000,2045.55,A,90,False,2018-06-04,procurement54@supplier54.com,67.2,"[""UL"", ""ISO 14001"", ""IATF 16949""]"
SUP00055,Strategic Systems Corp,Germany,North America,Plastics,Tier 2,1984,50,4665.03,AA,60,True,2017-07-21,procurement55@supplier55.com,71.8,"[""CE"", ""ISO 45001"", ""ISO 9001"", ""IATF 16949"", ""UL""]"
SUP00056,Global Components GmbH,Japan,North America,Electronics,Tier 2,2012,100,4954.69,BB,45,True,2017-07-02,procurement56@supplier56.com,41.1,"[""UL"", ""ISO 14001""]"
SUP00057,Premier Solutions Inc,Germany,Asia Pacific,Machinery,Tier 2,1980,500,1028.98,A,45,False,2015-04-07,procurement57@supplier57.com,87.8,"[""AS9100"", ""ISO 45001"", ""CE""]"
SUP00058,Dynamic Systems Corp,Brazil,North America,Chemicals,Tier 2,1997,50,1899.25,BB,45,True,2022-05-27,procurement58@supplier58.com,57.7,"[""AS9100"", ""UL"", ""ISO 9001"", ""CE"", ""ISO 14001""]"
SUP00059,International Industries Co,Japan,Latin America,Electronics,Tier 2,2011,10000,4632.61,BBB,90,False,2017-03-02,procurement59@supplier59.com,94.7,"[""IATF 16949""]"
SUP00060,Global Systems Corp,South Korea,Middle East,Textiles,Tier 1,1990,50,3609.37,BB,60,False,2019-06-21,procurement60@supplier60.com,98.1,"[""UL"", ""AS9100"", ""ISO 14001"", ""IATF 16949""]"
SUP00061,Strategic Systems Co,Brazil,North America,Machinery,Tier 2,2000,250,245.23,B,30,False,2018-09-06,procurement61@supplier61.com,51.1,"[""UL"", ""CE"", ""ISO 9001"", ""FDA""]"
SUP00062,International Industries Ltd,China,Asia Pacific,Food & Beverage,Tier 2,2005,1000,3908.66,BB,90,False,2018-02-15,procurement62@supplier62.com,67.7,"[""IATF 16949"", ""UL"", ""FDA""]"
SUP00063,Advanced Industries Co,India,Asia Pacific,Electronics,Tier 2,2004,500,4140.56,BB,60,False,2015-10-12,procurement63@supplier63.com,40.1,"[""AS9100"", ""FDA""]"
SUP00064,Strategic Technologies Inc,South Korea,North America,Chemicals,Tier 3,2001,5000,3753.76,A,60,False,2018-02-17,procurement64@supplier64.com,75.9,"[""FDA"", ""IATF 16949"", ""AS9100"", ""UL"", ""ISO 45001""]"
SUP00065,International Components GmbH,Poland,Middle East,Automotive,Tier 1,2006,5000,3998.69,BBB,30,False,2018-12-09,procurement65@supplier65.com,76.4,"[""FDA"", ""ISO 45001"", ""UL"", ""IATF 16949""]"
SUP00066,Global Manufacturing Corp,Malaysia,North America,Metals,Tier 2,1992,5000,4126.54,A,30,False,2022-03-12,procurement66@supplier66.com,54.9,"[""AS9100"", ""ISO 45001"", ""ISO 14001""]"
SUP00067,Strategic Components Ltd,China,Asia Pacific,Packaging,Tier 3,2012,10000,936.09,AA,30,False,2020-09-17,procurement67@supplier67.com,73.5,"[""IATF 16949""]"
SUP00068,Global Industries Co,Vietnam,Europe,Pharmaceuticals,Tier 2,2013,2500,1182.28,BBB,45,False,2019-06-26,procurement68@supplier68.com,53.5,"[""ISO 14001"", ""FDA"", ""AS9100""]"
SUP00069,Global Manufacturing GmbH,South Korea,Latin America,Packaging,Tier 2,2014,2500,3170.62,BBB,30,False,2022-08-15,procurement69@supplier69.com,49.6,"[""IATF 16949"", ""ISO 14001""]"
SUP00070,Strategic Manufacturing Co,Vietnam,Asia Pacific,Chemicals,Tier 2,1980,100,4539.79,A,60,False,2021-01-05,procurement70@supplier70.com,79.1,"[""AS9100"", ""FDA"", ""UL"", ""CE""]"
SUP00071,Strategic Industries Ltd,Japan,North America,Plastics,Tier 2,2000,500,1584.4,BBB,30,False,2018-09-18,procurement71@supplier71.com,59.6,"[""AS9100"", ""ISO 9001"", ""ISO 14001"", ""ISO 45001"", ""FDA""]"
SUP00072,Dynamic Solutions Co,China,Latin America,Plastics,Tier 3,1985,5000,2943.59,BB,60,False,2015-04-24,procurement72@supplier72.com,75.4,"[""ISO 45001"", ""UL"", ""ISO 9001""]"
SUP00073,Premier Components Co,India,North America,Automotive,Tier 1,2007,2500,3416.5,BBB,90,False,2016-04-17,procurement73@supplier73.com,66.0,"[""ISO 45001"", ""UL"", ""ISO 9001"", ""FDA"", ""CE""]"
SUP00074,Strategic Technologies GmbH,Poland,North America,Pharmaceuticals,Tier 1,1996,10000,2262.48,BBB,45,False,2017-12-05,procurement74@supplier74.com,99.1,"[""UL"", ""ISO 9001""]"
SUP00075,Premier Technologies Ltd,Indonesia,Europe,Food & Beverage,Tier 2,1984,100,3570.34,BB,90,True,2017-01-01,procurement75@supplier75.com,49.0,"[""AS9100""]"
SUP00076,Dynamic Components GmbH,Poland,Latin America,Automotive,Tier 3,2010,1000,4498.84,CCC,90,False,2021-07-06,procurement76@supplier76.com,67.9,"[""UL"", ""IATF 16949"", ""ISO 45001"", ""ISO 14001""]"
SUP00077,Dynamic Systems Corp,Brazil,Latin America,Packaging,Tier 2,1984,100,3122.39,BBB,60,False,2017-12-23,procurement77@supplier77.com,80.8,"[""AS9100""]"
SUP00078,United Technologies GmbH,Poland,Europe,Automotive,Tier 1,2017,2500,2701.21,BB,90,False,2015-06-06,procurement78@supplier78.com,63.7,"[""ISO 14001"", ""CE"", ""ISO 9001"", ""IATF 16949""]"
SUP00079,Global Industries Ltd,Turkey,Asia Pacific,Packaging,Tier 2,1982,250,2196.53,B,60,False,2016-03-20,procurement79@supplier79.com,98.5,"[""ISO 14001"", ""AS9100"", ""FDA"", ""ISO 9001""]"
SUP00080,Global Components Inc,UK,North America,Electronics,Tier 3,2002,10000,2889.54,B,30,False,2021-09-09,procurement80@supplier80.com,83.3,"[""ISO 45001"", ""CE""]"
SUP00081,International Technologies Ltd,Indonesia,Middle East,Plastics,Tier 1,2016,250,1780.04,AA,30,False,2019-11-15,procurement81@supplier81.com,79.4,"[""AS9100"", ""ISO 9001"", ""ISO 14001"", ""CE"", ""IATF 16949""]"
SUP00082,International Industries Inc,Germany,North America,Electronics,Tier 2,2016,5000,1960.45,A,60,True,2018-11-16,procurement82@supplier82.com,85.4,"[""IATF 16949"", ""CE"", ""AS9100"", ""UL"", ""FDA""]"
SUP00083,Global Systems Inc,Malaysia,North America,Metals,Tier 2,1989,250,2661.63,A,30,False,2018-07-08,procurement83@supplier83.com,97.2,"[""AS9100"", ""CE"", ""UL"", ""IATF 16949""]"
SUP00084,Premier Manufacturing Inc,USA,Asia Pacific,Pharmaceuticals,Tier 2,1989,5000,337.76,AA,45,True,2019-11-23,procurement84@supplier84.com,94.5,"[""ISO 9001"", ""AS9100"", ""FDA""]"
SUP00085,Strategic Components Inc,India,North America,Food & Beverage,Tier 2,1998,5000,1148.98,BBB,90,False,2021-10-19,procurement85@supplier85.com,83.5,"[""IATF 16949""]"
SUP00086,International Industries Corp,China,Europe,Packaging,Tier 1,1996,2500,2716.53,BBB,45,False,2020-09-25,procurement86@supplier86.com,84.9,"[""AS9100"", ""FDA""]"
SUP00087,Dynamic Solutions Ltd,UK,Europe,Food & Beverage,Tier 1,2000,250,2160.48,BB,90,False,2016-04-18,procurement87@supplier87.com,48.8,"[""ISO 45001""]"
SUP00088,International Industries Co,India,Latin America,Packaging,Tier 1,1993,5000,1667.41,AA,30,False,2019-04-27,procurement88@supplier88.com,46.2,"[""ISO 45001"", ""AS9100""]"
SUP00089,International Solutions Ltd,China,Middle East,Chemicals,Tier 3,1988,500,3654.09,BB,45,False,2021-06-19,procurement89@supplier89.com,74.3,"[""ISO 45001""]"
SUP00090,Strategic Solutions GmbH,Malaysia,North America,Automotive,Tier 3,1980,1000,3470.12,BBB,30,True,2017-02-17,procurement90@supplier90.com,41.1,"[""CE""]"
SUP00091,Premier Manufacturing Inc,Mexico,North America,Metals,Tier 2,1992,100,837.82,BBB,90,False,2017-11-09,procurement91@supplier91.com,68.9,"[""UL"", ""ISO 45001"", ""ISO 9001"", ""ISO 14001""]"
SUP00092,Dynamic Solutions Corp,Mexico,Asia Pacific,Plastics,Tier 3,1983,100,4393.75,B,60,True,2015-07-01,procurement92@supplier92.com,52.6,"[""AS9100"", ""FDA"", ""IATF 16949""]"
SUP00093,United Solutions GmbH,Vietnam,Europe,Packaging,Tier 2,1980,2500,2479.64,BBB,60,False,2022-12-13,procurement93@supplier93.com,60.8,"[""IATF 16949""]"
SUP00094,Strategic Systems Inc,India,Middle East,Food & Beverage,Tier 2,2019,250,3708.6,A,45,False,2019-11-22,procurement94@supplier94.com,86.5,"[""IATF 16949"", ""UL"", ""ISO 9001""]"
SUP00095,Dynamic Systems Inc,Mexico,Latin America,Metals,Tier 2,2011,250,2867.89,BB,30,True,2015-01-07,procurement95@supplier95.com,96.5,"[""IATF 16949"", ""FDA"", ""ISO 14001"", ""ISO 45001"", ""CE""]"
SUP00096,Global Solutions Corp,Turkey,Europe,Textiles,Tier 1,2013,5000,4988.47,A,30,False,2020-10-30,procurement96@supplier96.com,44.3,"[""ISO 9001""]"
SUP00097,Strategic Manufacturing Ltd,Indonesia,Latin America,Textiles,Tier 1,2007,10000,3763.25,AAA,45,False,2021-01-14,procurement97@supplier97.com,72.1,"[""AS9100"", ""UL""]"
SUP00098,Premier Industries Co,China,Asia Pacific,Electronics,Tier 2,2010,50,3536.37,BB,60,True,2022-09-14,procurement98@supplier98.com,93.0,"[""AS9100"", ""IATF 16949"", ""ISO 9001"", ""CE"", ""ISO 45001""]"
SUP00099,United Industries GmbH,Vietnam,Asia Pacific,Plastics,Tier 2,1987,5000,3893.97,A,90,False,2022-07-09,procurement99@supplier99.com,45.0,"[""AS9100"", ""UL"", ""CE"", ""IATF 16949""]"
SUP00100,Premier Components GmbH,Poland,North America,Chemicals,Tier 1,2018,1000,719.92,BB,45,False,2017-03-18,procurement100@supplier100.com,89.5,"[""ISO 14001"", ""AS9100"", ""ISO 9001"", ""IATF 16949""]"
SUP00101,Premier Manufacturing GmbH,China,Middle East,Food & Beverage,Tier 3,2005,500,1026.7,A,90,False,2019-01-31,procurement101@supplier101.com,61.5,"[""AS9100"", ""ISO 9001"", ""CE""]"
SUP00102,Strategic Technologies Inc,Vietnam,Latin America,Automotive,Tier 3,2013,100,3571.75,BB,60,False,2019-11-02,procurement102@supplier102.com,59.3,"[""ISO 9001"", ""CE""]"
SUP00103,Global Systems Co,Malaysia,Europe,Automotive,Tier 1,1982,5000,2472.44,A,30,False,2015-10-14,procurement103@supplier103.com,98.6,"[""ISO 9001"", ""CE"", ""ISO 14001""]"
SUP00104,Strategic Manufacturing Inc,India,Asia Pacific,Food & Beverage,Tier 3,1991,50,3774.4,B,60,False,2022-06-13,procurement104@supplier104.com,52.1,"[""UL"", ""ISO 45001"", ""ISO 14001"", ""AS9100""]"
SUP00105,Strategic Industries Ltd,Malaysia,North America,Pharmaceuticals,Tier 3,1980,50,519.07,BB,45,False,2018-09-14,procurement105@supplier105.com,81.6,"[""UL"", ""ISO 9001"", ""IATF 16949"", ""ISO 45001""]"
SUP00106,United Solutions GmbH,Indonesia,North America,Chemicals,Tier 3,1984,5000,2684.72,AA,30,False,2021-12-27,procurement106@supplier106.com,89.3,"[""FDA"", ""ISO 45001"", ""UL"", ""ISO 9001""]"
SUP00107,Premier Solutions Inc,Indonesia,Latin America,Metals,Tier 1,2009,2500,1897.21,BBB,45,False,2018-07-09,procurement107@supplier107.com,42.5,"[""FDA"", ""IATF 16949""]"
SUP00108,Premier Solutions Inc,UK,Asia Pacific,Packaging,Tier 3,2009,100,2287.72,CCC,45,False,2022-06-10,procurement108@supplier108.com,80.2,"[""AS9100"", ""FDA"", ""IATF 16949"", ""UL""]"
SUP00109,United Components GmbH,Malaysia,Middle East,Pharmaceuticals,Tier 2,1996,2500,3021.77,BBB,60,False,2016-05-25,procurement109@supplier109.com,97.1,"[""UL""]"
SUP00110,Advanced Solutions Co,Brazil,Asia Pacific,Packaging,Tier 3,2002,500,2513.93,AA,45,True,2018-05-15,procurement110@supplier110.com,47.5,"[""FDA""]"
SUP00111,Dynamic Systems GmbH,Poland,Latin America,Packaging,Tier 3,1994,50,2701.6,BBB,60,True,2020-09-08,procurement111@supplier111.com,93.8,"[""FDA"", ""ISO 9001"", ""IATF 16949""]"
SUP00112,Premier Industries Corp,South Korea,Latin America,Pharmaceuticals,Tier 2,2016,50,2434.36,BBB,30,False,2018-06-20,procurement112@supplier112.com,75.7,"[""ISO 9001"", ""FDA"", ""AS9100"", ""IATF 16949"", ""CE""]"
SUP00113,Premier Manufacturing Co,Malaysia,Asia Pacific,Electronics,Tier 3,2000,1000,2047.73,BBB,60,False,2022-06-24,procurement113@supplier113.com,77.0,"[""IATF 16949""]"
SUP00114,Dynamic Technologies Inc,UK,Latin America,Textiles,Tier 3,1993,500,3860.55,BBB,30,False,2019-07-31,procurement114@supplier114.com,76.8,"[""FDA"", ""AS9100"", ""IATF 16949"", ""UL"", ""ISO 9001""]"
SUP00115,Dynamic Components Inc,Japan,Asia Pacific,Packaging,Tier 3,1981,50,65.95,A,60,True,2018-08-29,procurement115@supplier115.com,57.9,"[""AS9100"", ""UL""]"
SUP00116,Global Technologies GmbH,Turkey,Europe,Pharmaceuticals,Tier 2,1990,500,2994.22,A,90,False,2019-07-07,procurement116@supplier116.com,96.1,"[""AS9100"", ""IATF 16949""]"
SUP00117,International Technologies Ltd,China,Asia Pacific,Pharmaceuticals,Tier 1,2018,100,2829.71,BBB,90,True,2022-10-26,procurement117@supplier117.com,96.8,"[""ISO 14001"", ""ISO 9001"", ""FDA"", ""AS9100""]"
SUP00118,Global Technologies Inc,Indonesia,Asia Pacific,Machinery,Tier 2,2017,250,3582.31,A,45,False,2018-04-26,procurement118@supplier118.com,77.5,"[""ISO 45001"", ""UL""]"
SUP00119,Strategic Industries Inc,Japan,Latin America,Electronics,Tier 3,2013,50,2997.15,AA,60,False,2021-03-20,procurement119@supplier119.com,87.0,"[""ISO 9001"", ""AS9100"", ""IATF 16949"", ""UL"", ""ISO 14001""]"
SUP00120,International Manufacturing Ltd,UK,Latin America,Plastics,Tier 1,2017,1000,4134.86,B,60,False,2016-06-05,procurement120@supplier120.com,76.7,"[""UL""]"
SUP00121,United Manufacturing Co,Vietnam,North America,Machinery,Tier 2,2013,100,4795.58,BBB,30,False,2017-02-24,procurement121@supplier121.com,69.1,"[""ISO 45001""]"
SUP00122,Premier Technologies Co,South Korea,North America,Machinery,Tier 1,1997,5000,1715.91,BBB,45,True,2019-09-19,procurement122@supplier122.com,79.6,"[""AS9100"", ""UL"", ""FDA"", ""ISO 45001""]"
SUP00123,Global Technologies Inc,Poland,Europe,Food & Beverage,Tier 2,2009,500,1140.62,BB,60,False,2022-06-16,procurement123@supplier123.com,73.2,"[""UL"", ""IATF 16949"", ""ISO 14001"", ""CE""]"
SUP00124,United Systems Co,Poland,North America,Textiles,Tier 3,1994,5000,2120.87,BBB,45,False,2019-04-02,procurement124@supplier124.com,75.8,"[""ISO 45001"", ""IATF 16949"", ""ISO 14001"", ""AS9100"", ""FDA""]"
SUP00125,International Technologies Corp,Poland,Asia Pacific,Pharmaceuticals,Tier 3,2006,2500,1443.21,BB,90,False,2022-08-06,procurement125@supplier125.com,87.0,"[""AS9100""]"
SUP00126,Advanced Industries Corp,Turkey,Latin America,Textiles,Tier 1,2013,100,3076.68,BBB,60,True,2016-12-13,procurement126@supplier126.com,68.9,"[""FDA"", ""CE"", ""AS9100"", ""ISO 45001""]"
SUP00127,Premier Components GmbH,South Korea,North America,Chemicals,Tier 3,2017,5000,4559.7,AA,60,False,2021-11-26,procurement127@supplier127.com,42.4,"[""AS9100""]"
SUP00128,Premier Systems Corp,Turkey,North America,Food & Beverage,Tier 2,2012,10000,699.89,A,45,False,2021-05-20,procurement128@supplier128.com,49.8,"[""UL"", ""CE"", ""ISO 14001""]"
SUP00129,United Components Inc,Indonesia,Europe,Plastics,Tier 2,2003,10000,508.47,BBB,60,False,2018-05-17,procurement129@supplier129.com,66.3,"[""UL"", ""ISO 45001"", ""CE"", ""AS9100""]"
